"exp_index","subject","scenario","person","action_probability","openness","conscientiousness","extraversion","agreeableness","neuroticism","total_failed_attention_checks"
"exp1",1,14,1,9,0,0,80,0,60,0
"exp1",1,14,2,100,100,20,0,60,0,0
"exp1",1,14,3,24,20,20,40,0,80,0
"exp1",1,14,4,23,20,40,0,20,0,0
"exp1",1,14,5,25,20,0,60,0,0,0
"exp1",1,3,1,38,80,100,20,40,40,0
"exp1",1,3,2,43,40,60,80,40,0,0
"exp1",1,3,3,24,60,80,60,0,0,0
"exp1",1,3,4,87,20,80,0,20,80,0
"exp1",1,3,5,23,0,20,60,80,0,0
"exp1",1,2,1,75,80,80,40,0,0,0
"exp1",1,2,2,43,60,100,20,20,60,0
"exp1",1,2,3,69,0,60,100,80,20,0
"exp1",1,2,4,73,100,80,20,60,60,0
"exp1",1,2,5,84,60,60,100,0,0,0
"exp1",1,4,1,76,40,80,40,60,20,0
"exp1",1,4,2,0,20,0,0,20,100,0
"exp1",1,4,3,30,20,40,40,60,60,0
"exp1",1,4,4,82,40,0,80,40,0,0
"exp1",1,4,5,43,40,100,100,60,60,0
"exp1",1,18,1,46,0,100,20,60,40,0
"exp1",1,18,2,100,100,0,80,20,100,0
"exp1",1,18,3,63,40,40,100,80,60,0
"exp1",1,18,4,68,40,40,0,0,60,0
"exp1",1,18,5,0,40,100,100,60,0,0
"exp1",1,10,1,74,60,80,0,40,0,0
"exp1",1,10,2,82,20,80,80,0,0,0
"exp1",1,10,3,57,100,80,60,60,80,0
"exp1",1,10,4,66,80,100,60,80,0,0
"exp1",1,10,5,42,60,80,20,40,100,0
"exp1",1,19,1,65,0,0,40,0,80,0
"exp1",1,19,2,56,80,0,0,100,60,0
"exp1",1,19,3,58,80,20,80,0,60,0
"exp1",1,19,4,61,20,60,0,20,60,0
"exp1",1,19,5,46,60,20,0,0,40,0
"exp1",1,11,1,63,0,60,80,60,60,0
"exp1",1,11,2,92,80,0,80,40,0,0
"exp1",1,11,3,52,40,20,0,0,20,0
"exp1",1,11,4,25,40,100,20,60,100,0
"exp1",1,11,5,62,60,20,100,20,40,0
"exp1",1,17,1,93,80,0,20,60,100,0
"exp1",1,17,2,100,100,20,80,60,100,0
"exp1",1,17,3,100,0,100,20,40,100,0
"exp1",1,17,4,83,20,80,0,60,80,0
"exp1",1,17,5,100,20,100,80,60,100,0
"exp1",1,15,1,61,60,40,80,0,40,0
"exp1",1,15,2,68,60,100,40,40,20,0
"exp1",1,15,3,87,100,40,80,100,20,0
"exp1",1,15,4,76,100,20,80,80,100,0
"exp1",1,15,5,47,60,40,0,40,100,0
"exp1",1,8,1,44,60,0,20,0,40,0
"exp1",1,8,2,0,80,20,40,40,100,0
"exp1",1,8,3,0,20,20,60,100,100,0
"exp1",1,8,4,40,60,0,60,20,60,0
"exp1",1,8,5,15,0,100,60,60,80,0
"exp1",1,1,1,79,0,0,80,80,20,0
"exp1",1,1,2,100,80,80,100,0,40,0
"exp1",1,1,3,66,60,100,100,100,80,0
"exp1",1,1,4,58,20,60,100,60,60,0
"exp1",1,1,5,63,80,60,100,20,60,0
"exp1",1,5,1,44,60,0,20,20,60,0
