"exp_index","subject","scenario","person","responsibility_openness","responsibility_conscientiousness","responsibility_extraversion","responsibility_agreeableness","responsibility_neuroticism","openness","conscientiousness","extraversion","agreeableness","neuroticism","total_failed_attention_checks"
"exp2",1,1,1,30,60,69,60,21,20,40,100,40,100,0
"exp2",1,1,2,0,20,51,100,0,0,20,40,60,0,0
"exp2",1,1,3,4,14,48,100,0,60,0,40,100,20,0
"exp2",1,1,4,0,0,79,10,0,80,60,60,0,40,0
"exp2",1,1,5,0,0,38,89,1,40,20,20,60,20,0
"exp2",1,2,1,29,20,59,100,61,20,0,20,100,40,0
"exp2",1,2,2,50,80,100,51,11,60,60,80,40,80,0
"exp2",1,2,3,49,29,100,0,32,60,20,100,0,60,0
"exp2",1,2,4,49,100,59,49,10,60,100,40,40,60,0
"exp2",1,2,5,50,79,89,98,0,60,60,100,80,0,0
"exp2",1,3,1,11,39,10,41,100,0,100,0,20,60,0
"exp2",1,3,2,0,40,13,70,70,0,40,0,40,40,0
"exp2",1,3,3,13,39,89,29,39,40,20,80,20,60,0
"exp2",1,3,4,12,59,50,39,100,60,80,60,20,100,0
"exp2",1,3,5,5,6,89,5,52,20,0,100,20,40,0
"exp2",1,4,1,30,49,79,100,0,100,40,60,100,60,0
"exp2",1,4,2,41,100,10,100,11,60,100,20,80,100,0
"exp2",1,4,3,89,94,100,0,10,100,80,100,0,40,0
"exp2",1,4,4,69,10,49,52,0,40,0,40,40,0,0
"exp2",1,4,5,41,31,100,10,60,20,20,80,40,100,0
"exp2",1,5,1,0,100,0,0,20,100,80,80,60,100,0
"exp2",1,5,2,0,11,0,0,100,40,0,80,0,100,0
"exp2",1,5,3,0,100,0,0,100,60,40,20,80,80,0
"exp2",1,5,4,0,76,0,0,100,20,20,0,80,60,0
"exp2",1,5,5,0,100,0,0,0,80,100,0,0,0,0
"exp2",1,6,1,4,100,0,0,20,100,20,20,0,20,0
"exp2",1,6,2,20,100,0,0,39,80,100,100,20,40,0
"exp2",1,6,3,0,100,59,0,5,0,40,100,20,40,0
"exp2",1,6,4,18,100,0,0,11,60,100,40,20,20,0
"exp2",1,6,5,10,79,0,0,21,20,40,0,0,20,0
"exp2",1,7,1,100,100,50,0,40,100,80,40,20,100,0
"exp2",1,7,2,67,0,32,0,87,60,0,0,20,60,0
"exp2",1,7,3,90,20,88,10,69,80,20,100,20,60,0
"exp2",1,7,4,50,70,68,0,10,40,40,100,20,0,0
"exp2",1,7,5,70,41,14,0,76,60,20,0,0,40,0
"exp2",1,8,1,3,100,0,0,99,100,80,0,60,80,0
"exp2",1,8,2,7,77,2,0,70,80,40,20,60,40,0
"exp2",1,8,3,0,87,0,0,35,0,40,40,80,20,0
"exp2",1,8,4,0,100,0,0,100,0,80,20,100,100,0
"exp2",1,8,5,0,100,0,0,100,80,100,40,80,80,0
"exp2",1,9,1,30,69,59,79,20,20,60,40,80,40,0
"exp2",1,9,2,11,51,40,59,30,0,40,0,60,100,0
"exp2",1,9,3,30,70,29,100,21,20,60,0,100,40,0
"exp2",1,9,4,79,0,100,0,0,60,0,80,0,0,0
"exp2",1,9,5,48,69,100,11,0,40,60,80,0,40,0
"exp2",1,10,1,0,11,100,0,10,0,0,80,0,60,0
"exp2",1,10,2,0,100,100,0,0,0,60,60,80,0,0
"exp2",1,10,3,10,100,100,0,60,40,100,100,80,60,0
"exp2",1,10,4,0,20,40,0,71,0,0,40,40,60,0
"exp2",1,10,5,29,70,100,0,40,80,40,100,60,40,0
"exp2",1,11,1,49,11,100,10,0,40,100,80,20,100,0
"exp2",1,11,2,100,0,69,0,0,100,20,40,0,20,0
"exp2",1,11,3,89,11,70,100,11,40,20,60,80,20,0
"exp2",1,11,4,100,12,30,100,100,100,20,40,100,100,0
"exp2",1,11,5,100,29,100,20,21,80,60,100,20,40,0
"exp2",1,12,1,71,100,20,21,20,20,80,20,80,20,0
"exp2",1,12,2,100,100,11,0,50,100,100,0,0,80,0
"exp2",1,12,3,100,40,20,0,11,80,40,40,20,40,0
"exp2",1,12,4,10,49,100,39,0,0,40,80,60,0,0
"exp2",1,12,5,100,69,0,0,28,100,80,0,40,60,0
"exp2",1,13,1,100,49,78,100,100,60,40,100,40,100,0
"exp2",1,13,2,100,0,30,69,100,100,0,20,0,40,0
"exp2",1,13,3,88,79,3,11,89,60,100,0,80,80,0
"exp2",1,13,4,100,21,60,3,96,80,40,100,20,80,0
"exp2",1,13,5,100,30,21,35,100,80,80,20,80,100,0
