"subject","trait","p_0","p_20","p_40","p_60","p_80","p_100"
1,"openness",0.0845070422535211,0.183098591549296,0.352112676056338,0.338028169014085,0.028169014084507,0.0140845070422535
1,"conscientiousness",0.09375,0.21875,0.296875,0.28125,0.09375,0.015625
1,"extraversion",0.131578947368421,0.289473684210526,0.289473684210526,0.210526315789474,0.0526315789473684,0.0263157894736842
1,"agreeableness",0.0909090909090909,0.204545454545455,0.318181818181818,0.227272727272727,0.136363636363636,0.0227272727272727
1,"neuroticism",0.102564102564103,0.41025641025641,0.333333333333333,0.0769230769230769,0.0512820512820513,0.0256410256410256
2,"openness",0.0610687022900763,0.137404580152672,0.221374045801527,0.297709923664122,0.183206106870229,0.099236641221374
2,"conscientiousness",0.0384615384615385,0.221153846153846,0.326923076923077,0.240384615384615,0.125,0.0480769230769231
2,"extraversion",0.0537634408602151,0.139784946236559,0.236559139784946,0.279569892473118,0.182795698924731,0.10752688172043
2,"agreeableness",0.043010752688172,0.161290322580645,0.236559139784946,0.268817204301075,0.193548387096774,0.0967741935483871
2,"neuroticism",0.106060606060606,0.189393939393939,0.287878787878788,0.21969696969697,0.136363636363636,0.0606060606060606
3,"openness",0.064327485380117,0.134502923976608,0.321637426900585,0.274853801169591,0.169590643274854,0.0350877192982456
3,"conscientiousness",0.0276497695852535,0.101382488479263,0.253456221198157,0.290322580645161,0.262672811059908,0.0645161290322581
3,"extraversion",0.0872093023255814,0.180232558139535,0.325581395348837,0.244186046511628,0.151162790697674,0.0116279069767442
3,"agreeableness",0.0431372549019608,0.125490196078431,0.250980392156863,0.262745098039216,0.219607843137255,0.0980392156862745
3,"neuroticism",0.0688073394495413,0.137614678899083,0.284403669724771,0.252293577981651,0.197247706422018,0.0596330275229358
4,"openness",0.0695652173913043,0.121739130434783,0.195652173913043,0.256521739130435,0.28695652173913,0.0695652173913043
4,"conscientiousness",0.132478632478632,0.166666666666667,0.200854700854701,0.235042735042735,0.209401709401709,0.0555555555555556
4,"extraversion",0.3,0.2625,0.216666666666667,0.116666666666667,0.075,0.0291666666666667
4,"agreeableness",0.219101123595506,0.191011235955056,0.196629213483146,0.224719101123595,0.112359550561798,0.0561797752808989
4,"neuroticism",0.244897959183673,0.231292517006803,0.214285714285714,0.173469387755102,0.105442176870748,0.0306122448979592
5,"openness",0.11214953271028,0.345794392523364,0.238317757009346,0.121495327102804,0.102803738317757,0.0794392523364486
5,"conscientiousness",0.0679012345679012,0.179012345679012,0.320987654320988,0.265432098765432,0.123456790123457,0.0432098765432099
5,"extraversion",0.0304878048780488,0.0975609756097561,0.152439024390244,0.335365853658537,0.219512195121951,0.164634146341463
5,"agreeableness",0.391705069124424,0.276497695852535,0.138248847926267,0.105990783410138,0.0552995391705069,0.032258064516129
5,"neuroticism",0.203488372093023,0.180232558139535,0.174418604651163,0.180232558139535,0.174418604651163,0.0872093023255814
6,"openness",0.212765957446809,0.197568389057751,0.179331306990881,0.164133738601824,0.139817629179331,0.106382978723404
6,"conscientiousness",0.0889830508474576,0.114406779661017,0.165254237288136,0.190677966101695,0.211864406779661,0.228813559322034
6,"extraversion",0.206798866855524,0.18413597733711,0.169971671388102,0.161473087818697,0.15014164305949,0.127478753541076
