"subject","trial","trait","observed_score","counterfactual_0","counterfactual_20","counterfactual_40","counterfactual_60","counterfactual_80","counterfactual_100","total_failed_attention_checks"
1,1,"neuroticism",60,0,0,40,NA,11,0,0
1,2,"extraversion",40,0,0,NA,39,20,0,0
1,3,"extraversion",20,0,NA,0,0,0,0,0
1,4,"conscientiousness",20,0,NA,21,0,0,0,0
1,5,"agreeableness",100,0,0,0,0,69,NA,0
1,6,"neuroticism",40,0,21,NA,21,0,0,0
1,7,"conscientiousness",0,NA,11,22,11,0,0,0
1,8,"extraversion",0,NA,19,11,0,0,0,0
1,9,"neuroticism",80,0,0,0,0,NA,79,0
1,10,"openness",0,NA,20,11,0,0,0,0
1,11,"agreeableness",20,0,NA,30,10,0,0,0
1,12,"conscientiousness",100,0,0,0,0,79,NA,0
1,13,"extraversion",100,0,0,0,0,79,NA,0
1,14,"agreeableness",0,NA,22,10,0,0,0,0
1,15,"neuroticism",0,NA,21,11,0,0,0,0
1,16,"agreeableness",60,0,0,31,NA,60,20,0
1,17,"openness",60,0,0,30,NA,59,11,0
1,18,"conscientiousness",80,0,0,0,10,NA,80,0
1,19,"openness",40,0,11,NA,62,40,21,0
1,20,"openness",80,0,0,0,20,NA,79,0
1,21,"openness",100,0,0,0,10,70,NA,0
1,22,"extraversion",80,0,0,10,29,NA,58,0
1,23,"agreeableness",80,0,0,0,60,NA,78,0
1,24,"extraversion",60,0,0,21,NA,69,50,0
1,25,"neuroticism",20,40,NA,61,20,0,0,0
1,26,"conscientiousness",40,0,60,NA,61,0,0,0
1,27,"conscientiousness",60,0,9,30,NA,0,0,0
1,28,"agreeableness",40,0,20,NA,12,0,0,0
1,29,"openness",20,0,NA,60,20,0,0,0
1,30,"neuroticism",100,0,0,21,69,79,NA,0
2,1,"neuroticism",20,69,NA,60,30,11,1,0
2,2,"openness",40,15,60,NA,69,31,11,0
2,3,"neuroticism",100,0,7,20,45,73,NA,0
2,4,"conscientiousness",60,7,20,60,NA,70,16,0
2,5,"openness",0,NA,63,35,16,5,1,0
2,6,"conscientiousness",40,11,55,NA,65,27,6,0
